"","no","comments","likes","date","caption","time","Sentiment_Score","Time","Popularity_Score","animal_score"
"65",13,3674,432574,"2015-11-17 05:33:42"," This is one of the last photos I took on my first assignment for Nat Geo magazine. It was one of the only times it wasn't raining during my last week in the field so I felt quite lucky when the sun broke through the clouds and added some much needed drama to the picture. In this picture a male gelada is running to catch up to his group. Shot in central highlands of Ethiopia! By ",1447767222,0,"AM",616274,0
"66",14,2835,308891,"2015-11-17 04:18:41"," The King of snakes photographed in Borneo’s Danum Valley. There are many snakes to choose from but this is surely one of my favorites!  I have spent months of my life searching for the king cobra, the longest venomous snake, that produces startling amounts of neurotoxin, enough to kill an elephant with a single bite. Go to  to see a king cobra eating another snake!  This serpent that can stand up tall like a man is really shy and retreating, aggressive only if provoked. We know little about its populations, but fragmented forests and illegal wildlife trade is putting it on the brink. science medicine kingcobra asia cobra borneo venom fast conservation rainforest mattiasklum     ",1447762721,-3,"AM",450641,1
"67",15,2953,262006,"2015-11-16 21:14:14","photo by  | A brush-tailed bettong at the Plzen Zoo in the Czech Republic. Check out my feed to see more cute members of the PhotoArk. photooftheday joelsartore",1447737254,1,"PM",409656,0
"68",16,2338,331534,"2015-11-16 21:13:16","The Atlas moth (Attacus atlas) are found in the tropical and subtropical forests of Southeast Asia, and is common across the Malay archipelago.  Which is where AlfredRusselWallace encountered them, and described them. Wallace is best known for independently conceiving the theory of evolution through natural selection; his paper on the subject was jointly published with some of Charles Darwin's writings in 1858. Wallace did extensive fieldwork, first in the Amazon River basin and then in Wallace while traveling in the the Malay Archipelago, where he identified the faunal divide now termed the Wallace Line, which separates the Indonesian archipelago into two distinct parts: a western portion in which the animals are largely of Asian origin, and an eastern portion where the fauna reflect Australasia.Atlas moths were often considered the largest moths in the world in terms of total wing surface area. They are also amongst the heaviest, Females are appreciably larger and heavier than the males.Atlas moths are said to be named after either the Titan of Greek mythology, or their map-like wing patterns. In Hong Kong the Cantonese name translates as ""snake's head moth"", referring to the apical extension of the forewing, which bears a more than passing resemblance to a snake's head. A subspecies which is native to the Yaeyama It is said to be the inspiration for the movie monster Mothra.  ",1447737196,3,"PM",448434,1
"69",17,5905,432816,"2015-11-16 20:02:47","Photograph by  for   With the first big dump of snow in the fall, polar bears get energized and engage in mock battle along the shores of Hudson Bay, Manitoba. They entertain themselves as they wait for the sea ice to freeze.  Follow me on  to see more pictures of polar bears.  COP21 bear polarbear wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful climatechange 202020 like picoftheday summer fun friends",1447732967,6,"PM",728066,1
"70",18,1009,329654,"2015-11-16 18:38:07"," : This image is a part of my series, Remnants. An exhibition of photographs of the environment and the environmental remnants left behind whether by nature or man. Seen here, a TV lies in the sand after the devastation of Hurricane Katrina. A reminder of the normalcy that took place only moments before chaos and destruction. The Remnants exhibit will be open at  until November 22 in Santa Fe, NM--follow me  to see more of RemnantsExhibit. Remnants HurricaneKatrina MonroeGallery StephenWilkes",1447727887,-2,"PM",380104,0
"71",1,1361,143353,"2015-11-19 22:13:50","  for Mother and baby. The long-tailed macaque a.k.a.  crab-eating macaque is a extraordinarily inquisitive primate native to Southeast Asia. I took this picture some years ago on  assignment in Danum Valley, Malaysian Borneo with . Go to  to see them interacting. Some refer to this monkey as an agricultural pest, others revere them as sacred animals and they've  been used for years in medical experiments. I have, on many occasions, followed large groups of this macaque species with their clear female dominance hierarchy. They are incredibly opportunistic omnivores and I have even experienced them using tools to obtain food in the rainforests of Borneo. danumvalley borneo longtailedmacaque crab stopanimalcruelty entrepreneurial tools pests cute intelligent female mattiasklum wwf iucn photooftheday malaysia science   ",1448000030,4,"PM",211403,1
"72",2,615,209583,"2015-11-19 19:38:42"," photo. “Simplify, Simplify, Simplify”  Quote from Henry David Thoreau, Walden 1854, referring to how to live life.  But it works for photographic composition too.  Aspen leaves at Walden Pond.  It is great to appreciate the beauty of nature close to home.  I’ll be sharing more from my WaldenPondProject at . HenryDavidThoreau, Thoreau, WaldenPond, NewEngland, Massachusetts, , ",1447990722,1,"PM",240333,0
"73",3,11828,206577,"2015-11-19 18:41:50","photo by  | Meet one of the rarest species in the world, the Yangtze River giant softshell turtle. There are only four left, including this male, who is more than 100 years old! Hope for the largest freshwater turtle in the world now rides on starting a captive breeding program at the Suzhou and Changsha Zoos in China. With help from the Turtle Survival Alliance (), biologists hope to use this male to fertilize the eggs of the world's only female using artificial insemination, in time to save the species. If you love turtles like we do, please go to http:www.turtlesurvival.org/ to learn more and see how you can help! This is part of the WGBH/PBS Documentary series RARE, targeted to air in Spring 2017. joelsartore PhotoArk",1447987310,8,"PM",797977,0
"74",4,1372,164803,"2015-11-19 16:29:41"," With genes found to be 98.4% identical to Homo sapiens, chimpanzees are our link to the animal kingdom. This photograph from my series titled Anima (a title derived from the thinking of C. G. Jung and James Hillman) challenges our ancient cultural assumptions about humanity’s lofty perch in the world. Let’s re-imagine and re-create a healthier, more integrated relationship between humans and nature. Follow me  and explore humanity’s relationship with nature through many of its manifestations. Anthropocene ArtPlusScience tbt Nature Portrait Primates",1447979381,0,"PM",233403,0
"75",5,921,275910,"2015-11-19 15:33:03","   An Intha fisherman paddles his boat on Inle Lake in Burma/Myanmar. Some Intha people live at the edge of the lake, but others grow vegetables in floating gardens, and live in houses on stilts.",1447975983,0,"PM",321960,0
"76",6,483,193504,"2015-11-19 15:17:06","Photo:  Jesus Murillo, who sells coffee and sandwiches under the Puente del Guambra, a bridge that passes over 10 de Agosto, poses for a portrait, in Quito, Ecuador.  In September, we () lead a workshop with a group of very talented young photographers in Quito.  Karla, Misha, and I also worked on our own projects during this time. The idea was to cover three different streets in three very different parts of Quito. I instantly fell in love with the movement and street life passing under this bridge. Lovers kissed, vendors sold traditional Ecuadorian food, and businessmen got their shoes shined.  I received a real blast of old-school Quito as well a taste of youth and new trends.  Thanks to FLUZ and the city of Quito for organizing the workshops and the mega-expo that will open next week in the Centro Cultural Metropolitano in Quito. puentedelguambra, latergram, , , ",1447975026,3,"PM",217654,0
"77",7,339,232950,"2015-11-19 14:28:05","A regular at this pond in Camp Perrin, Haiti, Johnny Pierre gets a head start at dawn and makes good use of Haiti's available natural resources, catching fish to feed his family during the rainy season. See this and many more photos by  students who photographed their country as they see it in the December issue of National Geographic Magazine   Smith Neuvieme, 32.  The story, written by Alexandra Fuller, is entitled Showing Haiti On Its Own Terms.  Link on the NGM website:  http:ngm.nationalgeographic.com/2015/12/haiti-photos-by-haitians-text       haiti  beauty fotokonbit proudnation natgeo nature",1447972085,2,"PM",249900,1
"78",8,823,332166,"2015-11-19 12:12:55"," . A view of the majestic beauty that typifies the Great Smoky Mountains from the road along Clingman’s Dome, the park’s highest elevation at 6643 feet. The Great Smoky Mountains, named for naturally-occurring mist-like clouds that frequently surround the mountains, are affected by air pollution from nearby industry, power plants, and cars. The pollution appears as a uniform haze, which threatens the health of flora and fauna and degrades visibility. The National Park Service works with state agencies to monitor nearby industry to minimize the amount of new pollution produced and carefully monitors the air quality in the park. See more on my website: http:www.gerdludwig.com/stories/great-smoky-mountains   SmokyMtns NationalPark mountains pollution Appalachian mist clouds landscape travel GreatSmokyMountains environment climatechange haze ClingmansDome FraserFir fog",1447963975,0,"PM",373316,0
"79",9,283,231128,"2015-11-19 11:17:10","Photograph by Michael Yamashita. . Silhouetted against an early morning sunrise, a nomad encampment north of Lhasa along Route 109, near sacred Namtso Latso Lake. Nakchu Namtsolake Tibet China  ",1447960630,0,"AM",245278,0
"80",10,2071,340608,"2015-11-19 10:15:14","Photograph by George Steinmetz  /  The arboreal splendor of Olmsted and Vaux’s masterpiece is at its finest in the fall. CentralParkNYC To see more of New York City from the Air, visit ",1447956914,1,"AM",444158,0
"81",11,1064,370896,"2015-11-19 08:50:02","  (Aaron Huey). The alien landscape of the RuthGlacier in DenaliNationalPark, Alaska.  While on assignment this year I followed one small glacial surface stream for several days.  I fell I love with its colors and bends and offshoots and pools.  The dense grey skies and the texture of the glacier around it made it feel like I was walking through a giant charcoal drawing, with only this colored ribbon as my guide.  More frames to come at .",1447951802,1,"AM",424096,0
"82",12,2510,476806,"2015-11-19 07:06:02"," Here is more proof that we humans live with majestic animals in urban areas without even knowing they are there - AND without major problems - if we let them be. Leopards are the most adaptable and the most persecuted cat on our planet.Shot for my  Leopard story - 2 leopard cubs are walking up stairs to go drink at a waterhole where the caretaker of a local shrine lives. The man has goats and chickens that drink the water during the day - at night he puts the livestock in his house for safety and the leopards come to drink - in Sanjay Gandhi National Park in Mumbai India.http:ngm.nationalgeographic.com/2015/12/leopards-moving-to-cities-textThe residents of Mumbai use the park during the day - kids playing cricket, couples walking after work or school - others just walking in naturehearing the symphony of the park - the bird calls - leaving the bustling city of over 21 million people. But at night the leopards come out - in the core of the park they have a substantial food source of deer and other species - but they walk silently on the trails at night close to apartment buildings. In one instance I met a man who had lived in this building for 10 years and did not know there were leopards here! I saw him every night walking with friends getting some exercise - two weeks later he tells me he was up at 3:30AM and looks out his window and sees a leopard for the first time! Our natural world is simply perfect and incredibly amazing. And without it we as humans cannot survive - we need to wake up and save the nature that we depend on for our oxygen, water and food - life itself. If we save big cats we can save ourselves.National Geographic launched the Big Cats Initiative to raise awareness and implement change to the dire situation facing big cats. Please visit CauseAnUproar.org to find out more about Build a Boma and other ways to become involved to save big cats! Give a High 5 for big cats! 5forbigcats @ follow me  to see other images, thanks!   bigcatsforeverivoryfree wildaid bigcatsforever beauty me follow love leopards ",1447945562,15,"AM",602306,1
"83",13,1956,382454,"2015-11-19 05:54:27","  Home away from home.  posts up across the valley from the immense 4000ft face of Mount Temple, Alberta, Canada. The Canadian Rockies have a rich, deeply impressive yet understated history of climbing and mountaineering. Sonnie's talent and climbing resume fall strongly into the tradition. ",1447941267,2,"AM",480254,0
"84",14,1252,393299,"2015-11-18 22:37:04","  A freediver glides beneath a canopy of sargassum weed  in the SargassoSea near Bermuda. Sargassum is a floating macro algae that forms large floating forests of dense weed that is critical habitat and nursery area for countless marine species. Sea turtle hatchlings depend on sargassum for cover from predators. The Sargasso Sea is the first proposed high seas marine protected area setting a global precedent for marine conservation in other high seas areas without sovereign jurisdiction.  From my current  of Sargassum Ecosystems. With  oceans beauty marineprotectedarea world respectnature for moreocean follow ",1447915024,1,"PM",455899,0
"85",15,1791,275938,"2015-11-18 20:33:40","photo by  | Check out this yellow mongoose at the Plzen Zoo in the Czech Republic. Follow me to see more members of the PhotoArk. photooftheday joelsartore",1447907620,0,"PM",365488,1
"86",16,850,379762,"2015-11-18 19:33:13"," photo. “For my panacea. . .let me have a draught of undiluted morning air.” quote from Henry David Thoreau, Walden 1854.  I’m back home in New England now, enjoying the beautiful fall weather.  This photo was made at sunrise on Walden Pond, Concord, Massachusetts, not far from my home.  It is a place I have been photographing through the seasons for many years, in between my expeditions to the far corners of the world.  Thoreau’s sojourn at Walden Pond, and his writings about the importance of wild places, were one of the foundations of the environmental movement, and are a continued source of inspiration for me.  It is great to appreciate the beauty of nature close to home… go watch a sunrise!  I’ll be sharing more from my WaldenPondProject at .  HenryDavidThoreau, Thoreau, WaldenPond, NewEngland, Massachusetts, ,",1447903993,5,"PM",422262,0
"87",17,1093,325385,"2015-11-18 17:48:00","Photograph by  Humpback whales bubble-net feed on a school of herring. The whales release a circular curtain of bubble beneath the fish which traps and pushes them upwards. The whales follow the fish and breach the surface with open mouths. The humpback whale population in the the seas off Canada's Great Bear Rainforest is unique in that they also sing at their feeding grounds. cetacealab whales herring canada greatbear    photooftheday picoftheday",1447897680,1,"PM",380035,1
"88",18,697,347250,"2015-11-18 15:24:22","  shot onassignment for . A reindeer herder on his sled at daybreak near Saranpaul’. Traditional life for indigenous clans is being threatened by booming oil development in the Khanty-Mansiysk region, where the natural resources that support their cultural heritage are in peril.The expansive modernization and economic growth generated by Russia’s oil and gas industry have been a blessing for most of the Khanty-Mansiysk region’s 1.5 million inhabitants, but not all. Roughly 30,000 indigenous people hailing from the area’s Khanty and Mansi tribes still populate the region, but their traditional way of life is quickly disappearing.   reindeer Siberia Russia Saranpaul’ indigenous oil culture Khanty Mansi tradition KhantyMansiysk winter",1447889062,3,"PM",382100,1
"89",19,2596,385093,"2015-11-18 12:40:21","   The battle for elephants is an on going struggle. With an estimated 25,000 poached each year for their ivory, many experts wonder how long this intelligent, matriarchal creature will last in the wild.  Stop the buying, stop the killing. Sadly, I've been told both of these juvenile males playing, have been poached since I made this image.   kenya elephants ivory tuskers wildlife africa gratitude.",1447879221,-5,"PM",514893,0
"90",20,3316,310765,"2015-11-18 09:37:23","   With no public health care and few dentists in Afghanistan, most Afghans will never visit a dentist in their lifetime. Men making dentures can often be found plying their trade on street corners or in makeshift shops like this one in Kandahar, Afghanistan. This man was already hard at work at 5:30 in the morning.",1447868243,0,"AM",476565,0
"91",1,62,21750,"2015-11-22 17:44:02","photo by  Hazy, foggy, smoggy or misty? What will be the right word to describe the air in New Delhi? Last month, a photographer friend who flew from New Delhi to Chennai and two days later, she said she still had some leftover air from Delhi. I had a similar experience the first few days when I was in Chennai. The thick, smoggy air was indeed a tough one to digest. NewDelhi magnumphotos cccontheroad cccJetLag",1448243042,0,"PM",24850,0
"92",2,2017,243456,"2015-11-22 14:51:47","An amazing sunset over NYC tonight, as seen from Brooklyn.  nofilter",1448232707,1,"PM",344306,0
"93",3,325,206748,"2015-11-22 13:54:54","Photograph by Michael Yamashita  - feeding crabs, Dongfeng, Jiangsu Province, China aquaculture hairycrab  ",1448229294,0,"PM",222998,0
"94",4,1414,255181,"2015-11-22 12:45:42"," photo.  The common Mallard is quite a spectacular bird when photographed in good light, especially against a nice reflection of fall leaves at Walden Pond, Concord Massachusetts.  You can find beauty almost anywhere outside in nature. Follow my WaldenPondProject . HenryDavidThoreau, Thoreau, WaldenPond, NewEngland, Massachusetts, duck, , ",1448225142,2,"PM",325881,1
"95",5,420,225708,"2015-11-22 11:38:52","  (Robbie Shone) - At 3,482 m asl (11,430 ft) the small cave at the top of the Jungfraujoch in Switzerland, is Europe's highest known cave. Whilst not technically demanding, we had to be very careful when traversing through the cave so as not to damage the large and beautiful hoar frost crystals clinging to the walls. Every hand and foot was placed carefully as we kept our head down and crawled along the passage. We were there as part of a scientific study looking at permafrost in the Alps.",1448221132,2,"AM",246708,0
"96",6,1556,376050,"2015-11-22 10:43:53","Photograph by  Some of the fishermen of South Africa’s Wild Coast have to walk for hours at night past the boundaries of Dweza Cwebe Marine Reserve to access open fishing grounds. The marine reserve was originally created with very little consultation with local communities and as a result some fishermen now struggle to survive while continuing to operate legally.Follow  for more photographs from this remote corner of South Africa’s coast.   underwater beautiful follow followme photo photooftheday picoftheday ocean adventure nature",1448217833,1,"AM",453850,0
"97",7,22868,591652,"2015-11-22 06:44:36","Photograph by  for   I am not sure if there is any animal quite as cute as a baby Emperor Penguin.  They go from being very shy and timid when their parents are at sea but get a ton of confidence when their nearly four foot tall, eighty pound parents are towering over them.  To see a picture of the parents rocketing underwater, followme on .  thinblueline penguinemperorpenguin antarctica cute baby pretty climatechange 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday",1448203476,8,"AM",1735052,1
"98",8,1856,166458,"2015-11-22 04:34:52","Martin: ""What brought you to living on the streets?”Jennifer: “I made some poor choices. I suffer from depression. And so I had things going on in my life and I got really depressed and I pretty much gave up. And now I'm rebuilding as you could say. But it's helping me re-find myself. It's going pretty good. I'm learning a lot of new things that I didn't know before, which is kind of cool considering I'm forty and I started transitioning in 2002.”M: “Have you always felt like you were a woman?”J: “Oh yeah, all my life I knew I was different. I grew up in a small town where I had to pretend that I was just like everybody else but I knew I was different and when I turned actually twenty-one that’s when I started doing research to figure out what I was supposed to be, like what the term was, what I was feeling…if anybody else felt like that and really got comfortable with the idea that I was a woman.”M: ""Was that part of your depression, that you felt like it was an obstacle to overcome? Lack of acceptance?”J: “Oh yeah. That was a major…most of my life."" The Greater West Hollywood Food Coalition  helps people like Jennifer get back on their feet. Want to help make a difference? For details and more portraits follow me ",1448195692,13,"AM",259258,0
"99",9,4235,386224,"2015-11-22 00:18:59","An Indri Lemur at Andasibe, Madagacar  (Stephen Alvarez)This critically endangered animal is the largest lemur still in existence and like all lemurs only found in Madagascar. Females produce one offspring every  2 to 3 years. The long time between births coupled with a 7 year period to reach sexual maturity means slow population growth. Lemurs are fantastic animals. The Indris are my second favorite behind the even more endangered Dekens Shifakas of the Western Tsingymadagascar lemur",1448180339,5,"AM",597974,1
"100",10,401,234434,"2015-11-21 23:30:22","photo by  In Chennai, India, all is calm and back to normal after the cyclone. The sandy Thiruvalluvar Nagar Beach is soft and gentle wave soothing. Chennai ThiruvalluvarNagarBeach MagnumPhotos cccontheroad cccJetLag",1448177422,2,"PM",254484,0
"101",11,3847,303623,"2015-11-21 22:28:42","photo by  | Take a look at this cute Andean porcupine at the ! Follow me, , to see more members of the PhotoArk. joelsartore photooftheday",1448173722,1,"PM",495973,1
"102",12,822,277119,"2015-11-21 21:29:28"," A Marine Iguana back photographed on Espanola Island, Galapagos. The patterns and colors on each and every individual iguana is unique, making it a feast for a photographer... The Iguanas of the Galapagos are believed to have had a common ancestor that floated out to the islands from the South American continent on rafts of vegetation millions of years ago. The world's only marine lizard species. Go to  to see a Galapagos marine iguana splashed by sea water.Such a great creature! Heading back to Galapagos today with  ,  ! wwf darwinfoundation iucn beauty marineiguana äventyrsresor patterns fashion vegetarian gorgeous photooftheday  ",1448170168,1,"PM",318219,1
"103",13,784,310527,"2015-11-21 15:41:16","Labadie, a fishing village on the northern coast of Haiti is known as a resort for the Royal Caribbean Cruise Lines where cruise ships with foreign tourists land two or three times a week. People also live in the village and many of them work for the resort.   member Manige Mesidor who lives in the village. Fotokonbit students shot the story for  on how young Haitians see their country, a nation different from that presented in dramatic news stories...a chance to show another side to this amazing country. Fotokonbit is a Haitian non-profit using photography to empower Haitians to balance the image of their nation. Check out our website fotokonbit.org. The story appears in the December issue of National Geographic Magazine and accompanies a story by Alexandra Fuller entitled Showing Haiti On Its Own Terms. Web link: http:ngm.nationalgeographic.com/2015/12/Haiti-photos-by-Haitians-text. A great read with surprising photographs!         fotokonbit haiti proudnation labadie beauty caribbean",1448149276,4,"PM",349727,0
"104",14,1002,297614,"2015-11-21 14:00:42","iPhone photo by : When you think of the Notre Dame, most people think of France, but you may be surprised to know we have (more than) one right here in North America! This particular Notre Dame is located in Canada's capital, Ottawa, and is the largest and oldest church in the city. I traveled to Ottawa this week to speak with the U.S. Ambassador to Canada, Bruce Heyman, and his wife, Vicki Heyman, about my work. It was an honor to be one of four American artists to participate in the Contemporary Conversations lecture at the National Gallery of Canada. The focus of the lecture was photography's potential for inspiring global change. I had a great time taking in the history and culture of this beautiful city as well as touring the Embassy and Canadian National Gallery. To learn more about my visit and to see more images from my trip and work, follow me . NotreDame Ottawa Canada StephenWilkes artconvoAIE",1448143242,4,"PM",347714,0
"105",15,3438,312174,"2015-11-21 13:13:52","Video by  / First snow in Ljubljana! Winter is coming finally...  Ljubljana Slovenia Europe",1448140432,0,"PM",484074,0
"106",16,1570,323034,"2015-11-21 10:53:46"," Here is more proof that we humans live with majestic animals in urban areas without even knowing they are there - AND without major problems - if we let them be. Leopards are the most adaptable and the most persecuted cat on our planet.Shot for my  Leopard story - here is a leopard walking in front of many apt. buildings on the edge of Sanjay Gandhi National Park in Mumbai India.http:ngm.nationalgeographic.com/2015/12/leopards-moving-to-cities-textThe residents of Mumbai use the park during the day - kids playing cricket, couples walking after work or school - others just walking in naturehearing the symphony of the park - the bird calls - leaving the bustling city of over 21 million people. But at night the leopards come out - in the core of the park they have a substantial food source of deer and other species - but they walk silently on the trails at night close to apartment buildings. In one instance I met a man who had lived in this building for 10 years and did not know there were leopards here! I saw him every night walking with friends getting some exercise - two weeks later he tells me he was up at 3:30AM and looks out his window and sees a leopard for the first time! Our natural world is simply perfect and incredibly amazing. And without it we as humans cannot survive - we need to wake up and save the nature that we depend on for our oxygen, water and food - life itself. If we save big cats we can save ourselves.National Geographic launched the Big Cats Initiative to raise awareness and implement change to the dire situation facing big cats. Please visit CauseAnUproar.org to find out more about Build a Boma and other ways to become involved to save big cats! Give a High 5 for big cats! 5forbigcats @ follow me  to see other images, thanks!   bigcatsforeverivoryfree wildaid bigcatsforever beauty me follow love leopards photooftheday startwith1thing picoftheday smile beauty friends instamood instafollow nature wildlife 5forbigcats ",1448132026,15,"AM",401534,1
"107",17,1853,374034,"2015-11-21 08:57:04"," A delicate butterfly fish, endemic to the Ogasawara Islands in Japan, gets cleaned by a tiny wrasse above a coral reef. Symbiotic behaviors occur frequently in the sea, as many creatures depend on others and everything is connected.Photographed onassignment for . To see more ocean wildlife images follow symbiosis nature love connections japan coralreefs OceanWild love ",1448125024,2,"AM",466684,1
"108",18,5619,453184,"2015-11-21 08:04:21","Photograph by  for .  Baby Arctic foxes sit outside of their den waiting for their parents to return with food in Svalbard, Norway.  These dens are often strategically located at the base of bird nesting cliffs.  I am not sure what it is, but people often react the strongest to pictures of baby animals.  As a journalist, my goal is to connect people to the ecosystems where these species need to survive.  To see the cutest baby emperor penguin chick I have ever seen, followme on .  baby cute thinblueline ArcticFox fox arctic  climatechange 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1448121861,9,"AM",734134,1
"109",19,1099,250503,"2015-11-21 07:04:14","  | El barrio La Perla. San Juan, Puerto Rico. This skate bowl and sometime swimming pool was built in 2005. The sweet beauty of this bowl is that it's right on the beach. Matter of fact this barrio occupies the best waterfront location in San Juan yet has avoided tourist development. The locals want to stay local. I get keeping things real. My son Bryan was filming, and Michelle and Lyla nearby. The family on assignment. The way we've done it many times over the years. We all loved our new La Perla family as well. An afternoon to be remembered forever. fujifilm puertorico sanjuan laperla skateboarding beachgames",1448118254,4,"AM",305453,0
"110",20,860,311361,"2015-11-21 05:58:07","Photograph by  This large Bryde’s whale feeds during the sardine run off South Africa’s wild coast. Bryde's whales display seemingly erratic behaviour compared to other baleens, because they surface at irregular intervals and can change directions for unknown reasons.Follow  for more photographs taken during my many expeditions following the sardine run.  underwater beautiful follow followme photo photooftheday picoftheday ocean adventure nature",1448114287,2,"AM",354361,0
"111",1,429,57464,"2015-11-24 12:45:58","Photograph by  Muizenburg beach in False Bay, southafrica is heaving with people on the edge of the Table Mountain Marine Park. Not all nature reserves are wilderness areas. Often they are regions where the needs of people and the needs of wildlife have to co-exist. Shot on assignment for  magazine for the Dec 2014 story “Cross Currents”. Follow  for more unpublished photographs from this feature story.   underwater beautiful follow followme photo photooftheday picoftheday ocean adventure nature",1448397958,2,"PM",78914,0
"112",2,310,131219,"2015-11-24 11:51:34"," . On a foggy morning, our small boat glides up the Don River near Veshenskaya in southern Russia, where the epic novel, ""And Quiet Flows the Don,"" by Mikhail Sholokhov was set. One of the most important works of Russian literature in the first half of the 20th century, Sholokhov was only awarded the Nobel Prize for literature 1965. The novel deals with the fate of the fabled Cossacks in their heartland of the Don River valley.   DonRiver Russia Cossacks fog river morning MikhailSholokhov literature fable history travel mist mood NobelPrize novel Starocherkassk Veshenskaya",1448394694,5,"AM",146719,0
"113",3,563,161706,"2015-11-24 10:55:15"," David Guttenfelder .The Mekong River : To Dam or Not to Dam.A fisherman naps on a giant fish trap set inside the fast moving rapids of the Mekong River near the island of Nakasoum. ""The longest river in Southeast Asia, the Mekong runs for 2,600 miles from the Tibetan Plateau down to the South China Sea. Inhabitants of the Mekong’s thousands of islands depend on the river for their food and livelihoods, yet it’s also a promising source of clean energy.The government of Laos’ recent decision to build a hydroelectric dam on the Mekong has raised concerns with residents and with environmentalists, who worry the dam will interrupt fish migration and damage the river’s ecology."" -Words by Anna Lukacs, National Geographic. For more photographs showing the unique landscape of the 4,000 islands area, and the essential role the Mekong river plays in residents’ lives, please check out news.national geographic.com and David Guttenfelder ",1448391315,-2,"AM",189856,1
"114",4,626,208723,"2015-11-24 09:54:36","  | Crash Boat beach, Puerto Rico. Harry ""The Pelican Whisperer"" also can call in some frigates with the wave of his hand. This one ""Trigger"" comes in from a mile away for a hand held sardine. These are rescue birds Harry has befriended for 9 years. The birds come in at 3:30 pm every day and leave at 5:30. Clockwork. The rest of the time they are wild and free and fishing. fujifilm puertorico frigates",1448387676,0,"AM",240023,1
"115",5,5578,354752,"2015-11-24 08:24:42","Photograph by   Arctic husky puppies roughhouse on the shores of Baffin Island, Nunavut.  dog pet puppy cute baby pretty 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1448382282,9,"AM",633652,1
"116",6,804,269590,"2015-11-24 07:08:45"," Caribbean reef sharks swim over a coral reef in The Bahamas. Predators like sharks are essential to the health of reefs and their value, not only to ecosystems but to local economies, has been recognized in places like this where they have been protected. A living shark contributes hundreds of thousands of dollars to ecotourism during the course of their lives. Photographed onassignment for .See more shark photos .sharks bahamas healthyreefs sharklove OceanWild predators picoftheday ",1448377725,3,"AM",309790,1
"117",7,326,227757,"2015-11-24 07:08:25","  A boy plays on a rock formation in northern Corsica, France. iphone6 2015",1448377705,0,"AM",244057,0
"118",8,778,188221,"2015-11-24 05:47:29","Photo  A worker is sands blasting radio active pieces at the Cleaning Deparment workshop inside the Lubmin nuclear power station, that was the largest nuclear power station in East Germany. At its peak, the plant employed around 10,000 full-time workers and around still 1,000 are working on decommissioning and other activities at the site since 1991. Please follow me  to see more about the Energy Revolution project I shoot on assignment for National Geographic Magazine  for the climate change issue.climatechange energyrevolution co2 nuclear nuclearenergy energy lucalocatelliphoto",1448372849,1,"AM",227121,0
"119",9,2604,456686,"2015-11-24 05:01:12","  A father and son fisherman in their wooden outrigger glide across a coral garden surrounding a small island in Kimbe Bay, Papua NewGuinea. KimbeBay is a deep water bay with shallow fringing reefs and seamounts rising from the depths. It is a rich and diverse corner if the coral triangle, a region known as the core of  marine biodiversity on our planet that includes the Philippines, Indonesia and PapuaNewGuinea. Photographed with  for     ocean beauty family explore coral coraltriangle For moreocean follow ",1448370072,1,"AM",586886,1
"120",10,4610,399489,"2015-11-24 02:02:30","  for A posing marine iguana, Galapagos Islands, Ecuador. The marine iguana forages exclusively on inter- and subtidal algae, and 4-5 red algal species are their food of choice. Go to  to see a Galápagos sea lion and to get acquainted with other cool creatures from these islands! This algal diet varies in accordance to what's available, preferences, and foraging behaviour of the iguanas. Only roughly 5% of marine iguanas dive for algae offshore, and these individuals are the large males. This behaviour is advantageous because these males experience less competition for food from smaller males and females, who are restricted to foraging during low tide. Today I'm heading back to these cool marine iguanas and the amazing Galapagos islands! marineiguanas galapagos darwin  conservation saveourseas  iucn wwf mattiasklum   ",1448359350,2,"AM",629989,1
"121",11,4145,448508,"2015-11-23 21:35:25","The beautiful eye of Baloo, a BlueBengal. He is a F4 with Donut Rosettes. My freind  was kind enough to bring him by my studio for an eye portrait for my evolution book. ",1448343325,2,"PM",655758,0
"122",12,743,199808,"2015-11-23 20:18:37"," photo. “The question is not what you look at, but what you see.” Quote from HenryDavidThoreau, seems like it could have been meant for photographers and not just all observers of nature.  As I walk around the Walden Pond area when I’m home in Massachusetts between international expeditions, this quote helps remind me to try to see creatively.  These are fall reflections creating abstract patterns in water at Heywood’s Meadow at Walden Pond State Reservation.  See more of my photos of my WaldenPondProject . Thoreau, WaldenPond, NewEngland, Massachusetts, , ",1448338717,2,"PM",236958,0
